Age group,2014,2015,2016,2017,2018,2019,2020,2021,2022
15 years and over,5446.2,5480.3,5516.2,5659.8,5769.1,5954.6,5610.4,5927.1,6188.1
15 to 24 years,820,807.9,802.6,836.1,855.1,891.4,718.8,800.3,876.2
25 to 54 years,3568.8,3582.8,3578.6,3642.1,3685.7,3805.9,3657.7,3844.3,4006.5
55 years and over,1057.5,1089.5,1135,1181.5,1228.3,1257.4,1233.9,1282.5,1305.4
